Number,Year,Date,Source,Plant Height,Stem Diameter,Leaf Width,Leaf Length,NDVI,RVI,LNC,LNA,LAI,LDW,Photo Path,Sensor Path,label_3class,label_5class,label_treatment,insect,disease,growth_state,Air_Temperature,Relative_Humidity,Light_Intensity,CO2,Soil_Moisture,Soil_Temperature,split
L225,2024,20240921,2024,28.0,4.0,12.0,24.0,0.38,2.38,1.55,0.1,1.1,0.06,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L226,2024,20240921,2024,48.0,9.0,23.0,39.0,0.38,1.92,2.06,0.14,1.69,0.06,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L211,2024,20240921,2024,59.0,10.0,31.0,50.0,0.3,2.03,1.86,0.1,1.41,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L212,2024,20240921,2024,64.0,9.0,28.0,37.0,0.39,2.71,2.13,0.13,1.12,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L213,2024,20240921,2024,46.0,9.0,30.0,34.0,0.29,2.55,1.75,0.15,1.7,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L221,2024,20240921,2024,58.0,8.0,21.0,29.0,0.36,1.69,2.17,0.12,1.53,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L222,2024,20240921,2024,52.0,8.0,17.0,38.0,0.31,1.66,1.76,0.08,1.34,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L223,2024,20240921,2024,126.0,12.0,31.0,40.0,0.42,2.44,2.26,0.15,1.57,0.07,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
L311,2024,20240921,2024,29.0,5.0,18.0,28.0,0.32,1.97,1.19,0.08,1.2,0.06,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
L312,2024,20240921,2024,46.0,9.0,36.0,44.0,0.17,1.98,2.2,0.13,1.11,0.06,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L313,2024,20240921,2024,51.0,7.0,27.0,45.0,0.22,2.29,1.69,0.14,1.02,0.06,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
L321,2024,20240921,2024,59.0,8.0,32.0,42.0,0.28,1.83,2.35,0.17,1.52,0.07,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L322,2024,20240921,2024,49.0,10.0,19.0,36.0,0.26,2.7,2.03,0.12,1.67,0.07,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L323,2024,20240921,2024,38.0,7.0,20.0,22.0,0.45,2.34,2.07,0.11,1.02,0.06,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
CK11,2024,20240921,2024,64.0,9.0,17.0,45.0,0.37,2.25,2.29,0.11,1.29,0.07,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,CK,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
CK12,2024,20240921,2024,13.0,6.0,10.0,10.0,0.25,2.14,1.36,0.08,1.23,0.06,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,CK,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
CK13,2024,20240921,2024,42.0,8.0,28.0,43.0,0.28,1.9,2.18,0.12,1.76,0.06,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,CK,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
CK21,2024,20240921,2024,38.0,9.0,17.0,32.0,0.42,1.48,2.15,0.16,1.47,0.06,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,CK,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
CK22,2024,20240921,2024,49.0,8.0,25.0,45.0,0.42,1.9,1.84,0.13,1.12,0.07,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,CK,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
CK23,2024,20240921,2024,48.0,7.0,21.0,36.0,0.36,1.58,1.71,0.13,1.3,0.06,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,CK,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L411,2024,20240921,2024,126.0,12.0,31.0,40.0,0.42,2.44,2.26,0.15,1.57,0.07,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L412,2024,20240921,2024,42.0,10.0,19.0,35.0,0.56,1.64,2.85,0.1,1.43,0.05,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L413,2024,20240921,2024,30.0,7.0,10.0,25.0,0.47,2.03,2.57,0.18,1.63,0.06,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L421,2024,20240921,2024,40.0,9.0,22.0,32.0,0.43,2.26,2.4,0.12,1.44,0.07,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L422,2024,20240921,2024,51.0,10.0,34.0,43.0,0.32,2.24,1.94,0.06,1.65,0.06,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L423,2024,20240921,2024,52.0,8.0,25.0,37.0,0.28,2.08,1.82,0.1,1.77,0.05,"images/11,411/1725150032_1725149546_6.jpg;images/11,411/1725157245_1725156747_6.jpg;images/11,411/1725171658_1725171148_6.jpg;images/11,411/1725178844_1725178347_6.jpg;images/11,411/1725186028_1725185546_6.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L511,2024,20240921,2024,126.0,12.0,31.0,40.0,0.42,2.44,2.26,0.15,1.57,0.07,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L512,2024,20240921,2024,38.0,6.0,15.0,28.0,0.38,1.7,1.53,0.09,1.48,0.06,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L513,2024,20240921,2024,43.0,8.0,18.0,38.0,0.32,2.43,2.13,0.14,1.62,0.06,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
L521,2024,20240921,2024,50.0,9.0,31.0,56.0,0.39,1.62,2.26,0.13,1.74,0.07,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L522,2024,20240921,2024,27.0,5.0,10.0,23.0,0.38,1.12,1.67,0.06,1.1,0.06,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L523,2024,20240921,2024,32.0,7.0,20.0,36.0,0.37,2.5,2.82,0.15,0.93,0.06,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,4,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
L611,2024,20240921,2024,126.0,12.0,31.0,40.0,0.42,2.44,2.26,0.15,1.57,0.07,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L612,2024,20240921,2024,126.0,12.0,31.0,40.0,0.42,2.44,2.26,0.15,1.57,0.07,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L613,2024,20240921,2024,43.0,9.0,19.0,33.0,0.27,1.79,2.0,0.12,1.59,0.06,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L621,2024,20240921,2024,42.0,8.0,26.0,43.0,0.37,1.38,1.65,0.17,1.27,0.06,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
L622,2024,20240921,2024,51.0,10.0,19.0,30.0,0.43,1.29,2.16,0.09,1.45,0.06,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L623,2024,20240921,2024,56.0,10.0,35.0,43.0,0.34,1.91,1.28,0.13,1.6,0.05,"images/511,611/1725149714_1725149463_4.jpg;images/511,611/1725156915_1725156663_4.jpg;images/511,611/1725171306_1725171063_4.jpg;images/511,611/1725178523_1725178264_4.jpg;images/511,611/1725185717_1725185463_4.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
L514,2024,20240921,2024,48.0,7.0,24.0,30.0,0.38,1.38,2.22,0.14,1.29,0.05,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L515,2024,20240921,2024,50.0,9.0,29.0,43.0,0.31,2.52,1.77,0.11,0.96,0.06,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L516,2024,20240921,2024,40.0,7.0,26.0,25.0,0.28,1.53,1.38,0.09,1.79,0.05,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
L524,2024,20240921,2024,51.0,7.0,19.0,44.0,0.26,2.59,2.34,0.17,0.84,0.07,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L525,2024,20240921,2024,49.0,9.0,34.0,42.0,0.41,1.98,1.65,0.14,1.04,0.06,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L526,2024,20240921,2024,57.0,8.0,34.0,38.0,0.41,2.62,2.15,0.13,1.73,0.06,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,5,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L614,2024,20240921,2024,40.0,8.0,17.0,35.0,0.37,1.85,2.01,0.07,1.14,0.06,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,6,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L615,2024,20240921,2024,55.0,7.0,23.0,40.0,0.38,1.81,1.87,0.11,1.17,0.06,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,6,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L616,2024,20240921,2024,45.0,9.0,27.0,35.0,0.35,1.49,2.42,0.15,1.58,0.06,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,6,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
L624,2024,20240921,2024,33.0,10.0,23.0,33.0,0.42,2.28,2.55,0.1,0.98,0.06,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,6,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L625,2024,20240921,2024,49.0,8.0,28.0,46.0,0.45,2.18,2.08,0.13,1.16,0.06,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,6,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L626,2024,20240921,2024,42.0,8.0,22.0,29.0,0.36,2.38,1.71,0.1,1.46,0.06,"images/514,614/1725149887_1725149506_5.jpg;images/514,614/1725157096_1725156706_5.jpg;images/514,614/1725171592_1725171111_5.jpg;images/514,614/1725178775_1725178311_5.jpg;images/514,614/1725236307_1725235907_5.jpg",../data.csv,Healthy,Healthy,6,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
R114,2024,20240921,2024,59.0,7.0,20.0,29.0,0.38,1.98,1.85,0.1,1.87,0.06,"images/114,217/1725150272_1725149595_7.jpg;images/114,217/1725157489_1725156798_7.jpg;images/114,217/1725171899_1725171193_7.jpg;images/114,217/1725179064_1725178391_7.jpg;images/114,217/1725186217_1725185585_7.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
R115,2024,20240921,2024,41.0,7.0,27.0,39.0,0.43,2.37,1.79,0.13,1.02,0.06,"images/114,217/1725150272_1725149595_7.jpg;images/114,217/1725157489_1725156798_7.jpg;images/114,217/1725171899_1725171193_7.jpg;images/114,217/1725179064_1725178391_7.jpg;images/114,217/1725186217_1725185585_7.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
