Date,Source,Air_Temperature,Relative_Humidity,Light_Intensity,CO2,Soil_Moisture,Soil_Temperature
20241031,2024,18.6615,72.1485,0.9184,474.4169,27.1892,18.3531
20241101,2024,20.5716,72.467,1.1608,474.9955,27.0705,19.3821
20241102,2024,18.3366,68.375,0.9445,457.2514,26.814,18.8429
20241103,2024,18.4338,75.5739,0.6003,466.9067,26.621,18.819
20241104,2024,16.8499,67.9864,0.8653,452.105,26.449,18.5096
20241105,2024,13.9617,71.0185,0.5683,433.5131,26.1076,16.9402
20241106,2024,13.201,73.2554,0.671,439.723,25.8446,15.777
20241107,2024,12.1064,74.5378,0.0,496.5668,25.6791,15.5882
20241108,2024,16.9203,68.9534,0.7608,524.7994,25.8768,16.8141
20241109,2024,19.2094,76.6061,0.4367,545.4752,25.9624,18.1516
20241110,2024,20.0622,70.8227,0.7658,463.4494,26.0932,19.2991
20241111,2024,17.272,71.5328,0.6312,450.6287,25.8602,18.1278
20241112,2024,16.395,68.9576,0.7282,439.9531,25.7959,17.8859
20241113,2024,15.6864,66.234,0.6692,451.8338,25.5983,17.0848
20241114,2024,18.1893,77.3381,0.1869,512.7935,25.6938,17.826
20241115,2024,17.2999,74.5414,0.4332,469.0324,25.7147,17.9608
20241116,2024,17.3682,71.5065,0.4716,465.898,25.7122,18.0571
20241117,2024,14.7098,64.29,0.5963,434.1886,25.5317,16.9366
20241118,2024,13.8836,63.4693,0.5635,450.968,25.3701,16.061
20241119,2024,14.153,66.229,0.5471,451.0319,25.4467,15.9107
20241120,2024,16.1094,68.3238,0.5458,474.5347,27.7581,16.2861
20241121,2024,16.7964,69.7052,0.4538,472.4052,29.3574,17.1528
20241122,2024,14.9253,65.7555,0.5013,447.1166,29.3157,16.6586
20241123,2024,14.2779,65.7105,0.4772,444.5783,29.6074,16.0994
20241124,2024,15.1114,66.0113,0.4928,451.6042,29.7176,16.1952
20241125,2024,17.5457,75.4594,0.1079,510.1633,29.9717,17.2155
20241126,2024,15.7804,75.4423,0.1081,451.7173,30.0551,17.1744
20241127,2024,13.731,71.1423,0.2601,425.1667,29.9089,15.8908
20241128,2024,14.5825,71.0244,0.2438,453.8095,29.9738,16.0134
20241129,2024,14.6024,73.0135,0.3071,447.974,30.0257,15.7737
20241130,2024,14.5607,67.4859,0.4307,448.7394,30.0414,15.7623
20250403,2025,23.2133,43.1592,6.931,496.7292,50.0656,23.4656
20250404,2025,23.9891,40.7229,8.1551,513.8958,52.2516,24.0099
20250405,2025,24.4548,39.1889,8.011,496.9485,53.6799,24.5258
20250406,2025,24.2222,46.2744,5.3847,523.6875,54.7807,23.9141
20250407,2025,22.9139,42.3821,8.2066,508.1378,55.5403,24.148
20250408,2025,22.3505,40.1405,8.9064,487.7713,56.2106,24.1128
20250409,2025,23.5362,41.2119,7.8108,515.7245,55.8224,24.5117
20250410,2025,24.3693,45.1523,7.6425,523.0365,55.1156,24.6526
20250411,2025,25.1269,52.7574,7.6604,500.8594,55.2615,25.1214
20250412,2025,22.8151,59.6196,3.6984,476.3512,59.5542,24.3336
20250413,2025,24.1454,63.9181,5.8243,490.6994,58.9045,24.3054
20250414,2025,25.4713,54.5308,7.0914,495.0923,58.1693,24.8726
20250415,2025,21.5563,63.3652,2.9675,449.6012,57.2732,23.5604
20250416,2025,22.5826,56.1537,7.3243,486.3244,57.0795,23.5351
20250417,2025,23.6607,51.7685,8.2132,530.7619,58.3759,23.9545
20250418,2025,22.4242,55.0023,5.6903,481.1696,60.6387,24.0027
20250419,2025,23.386,50.1763,9.1129,507.0149,60.1994,23.7631
20250420,2025,20.2766,53.1883,6.4255,473.1808,59.4274,22.7233
20250421,2025,20.6138,53.2924,5.7265,473.3631,58.9289,23.1705
20250422,2025,20.155,66.4633,3.3124,491.7202,57.3726,21.9565
20250423,2025,22.6326,54.4391,8.5112,486.7202,56.0476,21.3917
20250424,2025,19.4573,60.9886,4.4595,455.3839,59.8348,21.4048
20250425,2025,20.6272,64.9687,5.6546,493.1138,57.9455,20.9961
20250426,2025,21.4871,55.3709,8.2677,505.1488,56.5336,21.3708
20250427,2025,20.2477,59.2939,4.6045,495.7596,55.6223,22.3105
20250428,2025,19.2355,55.3391,6.3208,489.9666,54.5213,21.2538
20250429,2025,19.097,51.153,6.6581,483.4792,53.6839,21.2792
20250430,2025,20.8134,55.4696,6.599,508.7738,52.1527,21.5664
20250501,2025,21.7083,48.6355,5.4924,445.9242,40.5076,22.4929
20250502,2025,23.0748,48.7464,6.2855,523.4583,48.3446,22.7601
20250503,2025,22.1034,56.2307,4.4891,517.4315,46.8143,22.5583
20250504,2025,24.4385,44.5996,6.3423,519.8155,45.6414,23.5065
20250505,2025,23.8996,46.0048,6.2659,521.0357,44.5345,23.514
20250506,2025,21.8762,49.1882,6.2013,498.9107,43.5565,22.844
20250507,2025,22.3714,52.3328,7.5355,532.4792,43.2006,22.7443
20250508,2025,22.0515,51.8426,5.0137,516.4464,43.0423,22.3973
20250509,2025,23.4946,51.2846,5.3108,536.4554,43.6893,22.7601
20250510,2025,19.4895,65.9444,3.8625,474.4851,44.2307,21.6432
20250511,2025,18.9534,60.4986,5.3999,472.8333,44.1229,20.3351
20250512,2025,20.377,59.5107,3.9647,519.0982,43.8527,20.9158
20250513,2025,22.329,59.8495,3.8852,541.4345,43.5664,21.8318
20250514,2025,20.7702,59.5285,3.5473,466.9643,43.2259,21.6643
20250515,2025,21.1802,57.1488,7.1667,529.3313,43.0264,20.7638
20250516,2025,22.0715,53.6999,5.424,524.9673,42.7982,21.8679
20250517,2025,20.6724,55.5547,4.2647,512.256,42.2548,21.6244
20250518,2025,19.1057,53.4141,3.3511,460.4702,41.708,21.0964
20250519,2025,17.5835,60.4959,2.6963,449.5655,41.0283,20.3092
20250520,2025,21.4512,50.4163,7.6981,546.5357,40.5378,20.4018
20250521,2025,21.2136,57.1538,5.0336,512.7917,40.85,21.3774
20250522,2025,21.845,60.2583,4.2042,491.2332,41.1534,21.8055
20250523,2025,22.5178,49.751,7.1141,490.997,41.5568,21.9887
20250524,2025,20.6,62.1336,3.9925,496.0536,41.5137,21.6643
20250525,2025,20.3189,55.8882,4.4009,475.3065,40.9824,21.0036
20250526,2025,16.9536,77.2511,0.7983,431.8768,40.3085,20.0504
20250527,2025,21.3881,61.5962,5.6375,508.9911,40.1414,20.181
20250528,2025,22.1674,61.3456,5.3376,524.9226,40.5235,21.0542
20250529,2025,22.8888,63.5114,9.4776,527.1667,49.1849,20.9896
20250530,2025,15.7239,79.9731,1.5815,434.4896,49.1208,19.0854
20250531,2025,15.7546,80.3368,1.8461,463.9405,68.4369,18.2405
20250601,2025,23.7409,43.8621,3.843,519.7447,28.1585,22.0241
20250602,2025,19.1601,63.3881,4.8417,507.4911,41.0214,19.7815
20250603,2025,20.745,72.9269,5.3669,490.9167,41.2268,20.6277
20250604,2025,21.1494,69.6583,6.0646,484.619,41.4021,20.7009
20250605,2025,19.6285,73.884,2.9559,471.5446,41.7815,20.814
20250606,2025,19.4865,70.6932,3.0259,459.7708,41.8673,20.4375
20250607,2025,20.8603,68.8928,2.7716,480.4405,41.8,21.1815
20250608,2025,19.5809,73.6671,3.1948,458.1642,41.3672,21.2164
20250609,2025,20.7726,60.2641,1.919,466.3636,41.1707,21.6504
20250610,2025,23.0274,67.3609,5.2936,496.0143,50.0152,22.3067
20250611,2025,24.9528,72.3166,4.5747,504.5208,51.7599,23.1828
20250612,2025,24.5429,73.369,5.582,493.2083,51.15,23.6302
20250613,2025,22.8307,80.5751,2.7552,469.4375,50.3417,22.7406
20250614,2025,24.3231,78.1705,4.3963,487.0885,49.8182,23.0552
20250615,2025,21.8882,77.9109,2.8943,451.1094,49.6682,21.7349
20250616,2025,23.7782,69.7112,6.7701,505.2344,49.8161,22.2635
20250617,2025,24.5063,64.7987,9.3179,501.474,49.8323,23.2693
20250618,2025,24.4331,63.7914,5.9502,490.099,49.4672,23.325
20250619,2025,25.8783,64.3455,4.2726,516.5885,49.4052,23.9656
20250620,2025,24.9364,68.0888,3.1846,475.3125,49.2594,23.574
20250621,2025,21.7564,80.0996,4.0763,454.8594,48.9724,22.724
20250622,2025,18.3421,85.1979,1.5847,445.7917,48.4833,20.5156
20250623,2025,18.3115,82.4852,1.8098,437.8125,48.1714,19.4813
20250624,2025,18.4463,80.7978,2.9825,465.6094,47.8448,19.0844
20250625,2025,22.9678,71.6037,7.1001,534.7188,47.7708,20.7318
20250626,2025,25.1713,76.5661,6.6946,532.8775,47.7779,23.024
20250627,2025,27.041,70.3585,10.1896,506.5052,47.7964,24.4901
20250628,2025,26.4368,64.915,7.5715,474.8229,47.9313,24.8667
20250629,2025,26.2501,66.3267,6.7668,462.8229,48.3688,24.7484
20250630,2025,24.2113,71.928,2.9405,457.5156,48.4161,23.9302
